"ind","imgid","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag1c","tag2c","tag3c","tag4c","tag5c","tag6c","tag7c","tag8c","tag9c","tag10c"
"50","1011172807","outdoor",NULL,NULL,NULL,NULL,"road""","grass","trees","concrete","None",,,,,,"72:276,24:302,15:240,82:255,394:347,180:313,149:36","125:79,353:236,317:231,","182:18,125:79,34:101,","281:207,487:238,487:258,335:214,",
"51","101209597","neon light","kitchen ware","stove gas burner","light painting","art","None","None","None","None","None",,,,,,,,,,
"52","1012141007","outdoor","road","intersection","fire truck","truck","road""","concrete","trees","clouds","sky",,,,,,"360:289,430:352,275:310,11:323,","307:258,178:257,425:254,346:258,","486:161,73:151,90:199,","408:116,66:96,3:94,409:93,393:134,","6:13,211:25,397:33,397:33,313:74,"
"53","1012233556","bazaar","outfit","ensemble","room","dining","None","None","None","None","None",,,,,,,,,,
"54","1012499791","outdoor",NULL,NULL,NULL,NULL,"grass","trees","None","None","None",,,,,,"230:238,19:476,262:434,252:244,201:443,","254:117,270:23,309:57,47:58,",,,
"55","101258163","outdoor","nature","shore","coast","landscape","grass","None","None","None","None",,,,,,"13:321,434:330,141:291,192:291,",,,,
"56","101273502","indoor","art","handmade","paper","patchwork","None","None","None","None","None",,,,,,,,,,
"57","101287799","indoor","circle","round","fabric","knit","None","None","None","None","None",,,,,,,,,,
"58","101293129","outdoor","blackandwhite","gray",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"59","1013067404","indoor","restaurant","room","dining","dining room","None","None","None","None","None",,,,,,,,,,
"60","101351618","outdoor","hdr",NULL,NULL,NULL,"dirt","None","None","None","None",,,,,,"20:236,397:307,340:296,266:297,100:289,76:278,",,,,
"61","101354925","outdoor","arbor","shelter","building","building structure","clouds","sky","grass","dirt","None",,,,,,"60:35,463:30,79:33,206:23,","157:12,150:8,157:5,","20:314,334:296,246:304,108:312,","435:349,28:350,220:343,273:338,",
"62","1013554715","outdoor","nature","seaside","shore","landscape","water","sky","mountains","trees","None",,,,,,"170:445,27:166,293:171,259:180,103:174,350:183,272","191:32,49:43,43:54,","79:133,284:145,148:105,","167:53,290:38,293:96,",
"63","101394274","black background","black","architecture","steeple","screenshot","None","None","None","None","None",,,,,,,,,,
"64","1014318517","outdoor","sky","sun","sunrise","dusk","clouds","sky","water","trees","None",,,,,,"7:19,62:31,","381:37,192:20,12:84,363:50,214:25,","219:289,96:316,58:306,234:324,","424:218,4:174,18:247,395:260,341:283,",
"65","101478654","outdoor","architecture","abutment","building","house","sky","concrete","wood","trees","None",,,,,,"188:11,149:18,","266:321,381:352,155:355,","32:202,352:182,93:200,","335:56,371:101,468:111,406:82,",
"66","1014909709","indoor","hall","floor","bar","counter","wood","wall","None","None","None",,,,,,"18:237,411:264,223:269,236:264,","336:149,358:68,",,,
"67","10155703","outdoor","train","vehicle",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"68","101558345","outdoor","sail boat","boat","vehicle",NULL,"architecture","sky","water","trees","sun",,,,,,"60:21,324:72,282:189,294:279,","454:71,334:46,100:41,","20:274,467:281,337:296,","15:237,28:241,","440:170,26:172,56:195,56:195,18:213,"
"69","1015597411","outdoor","nature","aerial","landscape","abstract","forest","mountains","None","None","None",,,,,,"419:166,192:72,","284:84,290:314,308:243,",,,
"70","101584658","outdoor","nature","landscape","hill","foothill","grass","trees","mountains","sky","None",,,,,,"96:246,485:250,41:336,220:314,","488:152,293:186,254:176,","271:152,208:160,440:146,","78:19,481:14,367:63,152:60,",
"71","101587998","outdoor","fieldwork",NULL,NULL,NULL,"dirt","None","None","None","None",,,,,,"213:141,476:165,33:359,436:347,212:367,449:169,453",,,,
"72","101596528","outdoor","sport","field game","ball game","baseball","grass","dirt","trees","None","None",,,,,,"108:94,371:116,347:132,332:198,186:173,233:348,89:","373:142,473:242,399:303,24:235,71:283,121:273,","361:35,97:3,148:19,",,
"73","101597915","blackandwhite","monochrome","outdoor","alley","girder","None","None","None","None","None",,,,,,,,,,
"74","1016220729","outdoor",NULL,NULL,NULL,NULL,"trees","grass","None","None","None",,,,,,"25:169,362:167,256:186,37:165,","18:458,149:471,309:473,47:390,319:323,52:370,",,,
"75","1016275119","outdoor","nature","slope","mountainside","landscape","trees","sky","None","None","None",,,,,,"490:118,484:236,343:206,353:236,359:277,327:281,27","49:23,339:27,166:53,318:39,",,,
"76","1016449997","outdoor","aircraft","vehicle","airplane","military vehicle","sky","None","None","None","None",,,,,,"407:74,326:325,86:336,93:98,192:81,",,,,
"77","101695312","light","indoor","black background","black","blur","None","None","None","None","None",,,,,,,,,,
"78","1017013331","outdoor",NULL,NULL,NULL,NULL,"trees","dirt","None","None","None",,,,,,"458:225,430:280,405:70,254:264,212:320,","313:112,26:45,30:82,77:357,17:337,",,,
"79","1017315778","outdoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"80","1017335429","outdoor","plant","tree","nature","garden","concrete","dirt","trees","None","None",,,,,,"333:291,345:262,","427:295,371:328,375:288,345:282,","151:138,311:221,307:245,122:317,3:255,159:127,117:",,
"81","10177740","outdoor","ranch","animal","cattle","ox","None","None","None","None","None",,,,,,,,,,
"82","1018372535","outdoor","building","architecture","colonnade","arch","architecture","sky","None","None","None",,,,,,"432:206,238:130,280:228,191:283,38:230,","88:46,164:244,241:236,395:234,469:81,",,,
"83","1018586449","outdoor","sky","sun","mist","sunrise","sun","trees","clouds","sky","None",,,,,,"42:231,263:226,160:153,","56:276,199:281,366:266,","209:61,68:55,299:48,216:78,","431:30,431:30,422:37,102:18,",
"84","1018849954","outdoor","architecture","tower","watchtower","campanile","sky","trees","None","None","None",,,,,,"77:295,256:262,246:128,101:116,","315:214,272:150,309:214,14:165,8:109,",,,
"85","1018899577","assembly hall","auditorium","music","concert band","group performance","wall","None","None","None","None",,,,,,"39:30,423:25,323:168,",,,,
"86","1019144344","indoor","food","meal","buffet",NULL,"None","None","None","None","None",,,,,,,,,,
"87","10191914","outdoor","nature","shore","landscape","seaside","water","trees","clouds","None","None",,,,,,"174:289,438:189,124:276,","358:264,438:257,458:237,","275:20,107:55,313:84,",,
"88","101934569","motor","engine","alternator","car engine","indoor","None","None","None","None","None",,,,,,,,,,
"89","1019680843","building","building complex","architecture","outdoor","condominium","sky","clouds","trees","None","architecture",,,,,,"18:142,207:91,88:106,133:26,169:30,57:16,205:45,","10:251,14:266,112:223,","302:304,368:360,281:335,486:346,413:323,","302:304,302:304,302:304,","301:150,393:257,392:86,"
"90","1019692472","outdoor","potted plant","plant","nature","garden","None","None","None","None","None",,,,,,,,,,
"91","1019875322","outdoor","fire","bonfire","screenshot","text","None","None","None","None","None",,,,,,,,,,
"92","1019887","outdoor","nature","water","waterfall","landscape","water","None","None","None","None",,,,,,"21:318,30:238,203:245,225:285,118:345,124:271,",,,,
"93","101989389","people","indoor",NULL,NULL,NULL,"people","None","None","None","None",,,,,,"151:41,289:51,153:40,191:66,413:226,386:190,355:18",,,,
"94","1020109419","outdoor","nature","field","landscape","grainfield","grass","trees","sky","sun","None",,,,,,"42:222,368:321,170:274,","206:166,103:166,144:165,144:165,205:164,","34:85,28:64,157:128,262:57,404:82,200:60,","405:12,334:14,379:18,",
"95","10201561","outdoor",NULL,NULL,NULL,NULL,"sky","water","architecture","None","None",,,,,,"472:16,152:4,356:69,238:97,276:84,","368:182,256:167,363:190,334:176,","156:37,21:37,39:50,67:79,144:291,",,
"96","1020228776","outdoor",NULL,NULL,NULL,NULL,"trees","None","None","None","None",,,,,,"48:3,103:32,458:42,453:159,453:159,453:159,76:120,",,,,
"97","102030224","indoor","pet","dog","animal",NULL,"animal","wood","None","None","None",,,,,,"271:310,","258:16,53:73,232:79,53:181,",,,
"98","1020555031","indoor","performer","people","clown","art","None","None","None","None","None",,,,,,,,,,
"99","102071515","outdoor","shelter","tent","pavilion","nissen hut","snow","trees","None","None","None",,,,,,"93:158,53:135,323:168,301:132,365:100,296:116,","102:121,124:109,153:108,119:86,",,,
"100","102108241","collection","outdoor","grocery store","shop","florist","None","None","None","None","None",,,,,,,,,,
"101","1021086004","outdoor","plant","nature","grass","green","grass","None","None","None","None",,,,,,"158:50,10:283,135:13,476:293,476:293,396:327,24:28",,,,
"102","1021739496","blackandwhite","monochrome","head","people","hair","None","None","None","None","None",,,,,,,,,,
"103","102176827","outdoor","nature","field","grassland","pasture","forest","trees","None","None","None",,,,,,"279:26,116:30,358:42,172:39,","344:108,69:93,104:120,90:135,",,,
"104","1021986538","outdoor","fieldwork","friends","people","graduation","clouds","trees","None","None","None",,,,,,"91:6,453:27,427:16,200:10,184:26,","80:115,25:75,",,,
"105","102217567","memorial","architecture","outdoor","pedestal","art","sky","None","None","None","None",,,,,,"36:191,247:165,247:190,0:208,",,,,
"106","1022251200","outdoor","nature","shore","seaside","landscape","water","sun","sky","None","None",,,,,,"28:224,413:160,413:233,75:226,113:220,","310:42,253:45,286:33,","194:92,340:114,232:97,295:109,",,
"107","102233040","blue",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"108","1022394756","indoor",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"109","1022420254","animal","zebra","outdoor","nature","safari","trees","dirt","animal","None","None",,,,,,"33:27,449:9,66:26,409:21,84:9,453:23,146:20,256:56","78:120,27:129,12:338,479:160,490:361,","169:143,214:194,423:249,303:215,0:228,",,
"110","10224798","graffiti","art","timepiece","clock","minute hand","sky","architecture","None","None","None",,,,,,"261:15,485:146,493:137,","53:203,212:112,282:203,",,,
"111","1022594719","blue","neon light","art","light painting","triangle","None","None","None","None","None",,,,,,,,,,
"112","102260740","outdoor","car","vehicle",NULL,NULL,"dirt","sky","None","None","None",,,,,,"53:199,63:230,157:254,82:278,453:310,456:307,394:3","423:67,69:11,400:67,",,,
"113","1022680987","sport","stadium","bowling","indoor","assembly hall","None","None","None","None","None",,,,,,,,,,
"114","102270829","outdoor","ox","animal","cattle","head","grass","dirt","animal","None","None",,,,,,"44:12,64:24,166:4,","316:29,168:49,477:276,296:369,388:336,137:339,102:","120:191,402:277,465:217,352:198,317:251,238:171,",,
"115","1022751717","nature","rock","gravel","texture","pattern","None","None","None","None","None",,,,,,,,,,
"116","1022912676","outdoor","scorpion","animal","texture","blur","rocks","None","None","None","None",,,,,,"247:277,150:492,308:442,36:274,",,,,
"117","1023161169","outdoor","blue","shorts","sportswear","swing","sky","trees","grass","None","people",,,,,,"113:60,142:50,61:32,211:79,91:290,100:271,","221:41,281:153,281:345,225:353,234:152,251:170,","71:423,84:479,81:445,","81:473,","203:408,191:108,191:126,200:404,140:405,"
"118","102340406","indoor",NULL,NULL,NULL,NULL,"floor","wood","None","wall","None",,,,,,"62:468,243:390,243:390,263:467,140:473,","22:269,125:114,122:288,82:311,","22:269,22:269,22:269,22:269,","296:269,263:128,154:146,",
"119","1023412564","outdoor","plant","nature","tree","path","trees","None","None","None","None",,,,,,"444:17,151:122,472:48,389:116,37:239,121:145,163:1",,,,
"120","102365392","indoor","table","furniture","dinner table","dining table","None","None","None","None","None",,,,,,,,,,
"121","102372516","car","vehicle","control panel","dashboard","electronics","wood","None","None","None","None",,,,,,"79:122,79:122,143:119,240:133,",,,,
"122","102380220","outfit","indoor","ensemble","group performance","assembly","wood","people","None","None","None",,,,,,"443:364,475:313,483:288,449:284,","106:250,169:195,128:187,380:139,354:159,360:237,40",,,
"123","1023834958","outdoor","fence","hand rail","deck","house","water","sky","trees","None","None",,,,,,"382:334,296:340,121:339,","24:26,416:9,293:24,","104:159,307:64,87:99,474:88,302:68,446:208,397:168",,
"124","102392131","indoor",NULL,NULL,NULL,NULL,"wood","people","None","None","None",,,,,,"140:60,211:113,","327:298,264:203,181:287,62:332,74:412,235:388,",,,
"125","102395301","pet","dog","animal","puppy","labrador","concrete","animal","None","None","None",,,,,,"92:88,","184:84,373:99,331:56,314:317,219:312,212:211,383:2",,,
"126","1024096737","indoor","aardvark","animal","sleeping","anteater","None","None","None","None","None",,,,,,,,,,
"127","1024386521","indoor","alehouse","alcohol","food","beer","people","None","None","None","None",,,,,,"374:158,323:119,79:279,111:150,103:81,",,,,
"128","1024410646","outdoor","nature","coast","shore","landscape","sky","sand","water","grass","None",,,,,,"88:99,347:92,","93:288,13:283,","54:360,369:221,84:353,41:236,","345:367,462:334,",
"129","1024874365","outdoor","feline","big cat","animal","architecture","grass","dirt","grass","None","None",,,,,,"428:9,458:94,416:22,419:69,","371:219,348:259,466:160,384:284,410:238,","368:169,292:249,244:236,194:291,",,
"130","1024885720","outdoor","macro","insect","animal","fly","None","None","None","None","None",,,,,,,,,,
"131","1024899639","blue","outdoor","pet","dog","animal","water","None","None","None","None",,,,,,"320:65,111:9,346:325,325:82,248:61,142:42,18:33,32",,,,
"132","1024930690","people","indoor",NULL,NULL,NULL,"people","wall","None","None","None",,,,,,"36:190,16:194,324:263,362:272,372:305,210:101,170:","44:27,6:213,42:9,84:27,0:116,85:48,39:103,",,,
"133","102513869","people","indoor","blur",NULL,NULL,"floor","people","None","None","None",,,,,,"13:298,297:210,297:210,304:154,","96:181,94:217,",,,
"134","102515538","outdoor","mountain","nature","landscape","slope","snow","clouds","sky","mountains","None",,,,,,"39:270,360:302,295:300,285:282,","465:37,340:49,44:22,","399:62,223:35,","309:194,162:128,373:130,319:132,447:172,345:185,",
"135","1025487639","people","portrait","outdoor","snow","snowboard","None","None","None","None","None",,,,,,,,,,
"136","102596464","nature","field","grassland","pasture","landscape","water","grass","rocks","trees","None",,,,,,"309:61,5:56,21:16,280:27,119:31,","143:269,233:245,430:340,430:340,150:265,217:315,","165:86,249:115,6:129,50:114,472:168,311:184,197:16","379:96,445:157,397:10,424:24,",
"137","102634378","outdoor",NULL,NULL,NULL,NULL,"rocks","sky","None","None","None",,,,,,"277:178,61:195,231:358,57:327,370:207,58:196,142:2","4:26,294:34,161:24,161:24,",,,
"138","1026619749","people",NULL,NULL,NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"139","1027169227","outdoor","plant","nature","flower","poppy","flowers","grass","None","None","None",,,,,,"268:137,106:132,279:146,134:237,","335:138,38:176,94:254,245:371,108:376,",,,
"140","1027395168","outdoor","plant","nature","grass","meadow","trees","grass","sky","None","None",,,,,,"380:20,494:55,484:25,398:17,375:85,492:128,351:136","154:163,214:173,280:220,206:270,58:274,","131:15,301:19,",,
"141","102754173","outdoor","water","stream","nature","landscape","water","dirt","grass","None","None",,,,,,"266:340,285:266,263:331,","15:342,151:190,12:213,","339:196,327:221,329:227,",,
"142","102770522","outdoor","landscape","ridge","nature","bluff","sky","water","mountains","trees","None",,,,,,"94:50,184:65,","182:101,195:151,136:341,141:283,","213:406,224:446,194:413,22:315,43:375,","335:95,361:58,152:485,56:478,13:490,",
"143","1027706144","outdoor","black",NULL,NULL,NULL,"animal","grass","None","None","None",,,,,,"358:128,290:254,","211:9,292:52,352:34,428:74,460:332,51:353,168:277,",,,
"144","1027762133","stairwell","indoor","atrium","window","architecture","window","None","None","None","None",,,,,,"194:200,299:321,192:200,129:198,",,,,
"145","1028574806","people","indoor",NULL,NULL,NULL,"trees","people","None","None","None",,,,,,"283:22,215:12,226:72,","185:7,154:42,178:3,",,,
"146","102862772","outdoor","snow","snowdrift","gray","aerial","snow","None","None","None","None",,,,,,"24:313,370:320,363:347,292:361,",,,,
"147","1028829352","outdoor","shorts","running","sport","runner","road""","sky","people","None","None",,,,,,"321:469,164:450,98:435,","59:71,310:46,76:104,","7:233,48:327,210:189,199:78,223:132,232:391,256:48",,
"148","1029347090","outdoor","plant","nature","blossom","purple","None","None","None","None","None",,,,,,,,,,
"149","1029488227","blackandwhite","monochrome","outdoor","nature","hill","clouds","trees","forest","mountains","None",,,,,,"71:54,463:93,293:86,","11:267,405:333,360:320,","243:220,","270:210,",
"150","102970170","outdoor",NULL,NULL,NULL,NULL,"trees","None","None","None","None",,,,,,"225:37,347:298,33:59,230:37,77:84,386:78,353:297,4",,,,
"151","1029723685","green","outdoor","garden",NULL,NULL,"forest","None","None","None","None",,,,,,"311:42,109:66,180:125,26:225,33:292,448:223,",,,,
"152","1029750961","indoor",NULL,NULL,NULL,NULL,"wood","None","None","None","None",,,,,,"278:333,208:290,265:292,",,,,
"153","102976291","plant","nature","tree","palm tree","green","trees","None","None","None","None",,,,,,"288:73,404:313,134:272,155:188,",,,,
"154","102977071","indoor",NULL,NULL,NULL,NULL,"wall","None","None","None","None",,,,,,"17:26,394:29,214:22,338:17,",,,,
"155","10300227","outdoor",NULL,NULL,NULL,NULL,"water","None","None","None","None",,,,,,"141:241,258:15,130:254,280:17,235:22,337:170,208:8",,,,
"156","103010572","outdoor","art","drawing",NULL,NULL,"trees","None","None","None","None",,,,,,"284:430,262:453,86:471,297:475,201:460,",,,,
"157","103011424","outdoor","nature","shore","landscape","seaside","water","sky","trees","None","None",,,,,,"307:295,361:291,454:217,448:213,","298:25,87:26,421:15,352:104,","4:61,57:174,62:109,317:178,250:152,",,
"158","1030626586","outdoor","tree","plant","nature","park","trees","dirt","None","None","None",,,,,,"278:85,49:50,268:72,310:102,211:244,293:225,56:230","129:383,196:377,175:425,",,,
"159","1030758626","outdoor","blue","purple","animal","duck","grass","wood","None","None","None",,,,,,"464:112,364:60,449:124,348:142,","63:6,56:184,56:184,193:14,","193:14,",,
"160","1030894270","vehicle","aircraft","airplane","outdoor","airframe","road""","sky","None","None","None",,,,,,"428:277,193:297,","465:96,14:146,279:17,102:31,374:55,",,,
"161","10309040","blur",NULL,NULL,NULL,NULL,"wood","night sky","lights","None","None",,,,,,"466:214,425:147,447:130,","151:19,98:220,127:62,69:87,","173:325,220:57,225:194,",,
"162","103091847","carousel","amusement park","vehicle","boat","drum","people","None","None","None","None",,,,,,"55:7,160:11,49:1,",,,,
"163","103092661","beam","rafter","architecture",NULL,NULL,"wood","None","None","None","None",,,,,,"41:38,16:270,376:359,77:363,452:91,417:52,",,,,
"164","1031584487","art","graffiti","text","sign","indoor","wall","None","None","None","None",,,,,,"298:97,361:305,349:429,349:429,296:451,",,,,
"165","1032040597","outdoor","gown","dress","costume","skirt","road""","grass","trees","None","None",,,,,,"348:361,348:361,246:473,","347:141,252:323,280:269,","328:60,153:42,29:296,18:117,",,
"166","103258130","indoor","art","illustration","map","poster","wall","None","None","None","None",,,,,,"87:338,160:478,109:37,","346:318,",,,
"167","1032730131","stringed instrument","music","performer","people","guitar","None","None","None","None","None",,,,,,,,,,
"168","1033073747","green","blur","text","document","mixed drink","None","None","None","None","None",,,,,,,,,,
"169","103324487","closet","furniture","shop",NULL,NULL,"None","None","None","None","None",,,,,,,,,,
"170","103351885","indoor","dinner table","dining table","table","furniture","people","wall","window","None","None",,,,,,"93:98,326:161,106:122,","47:214,11:173,296:78,296:78,","41:94,39:75,",,
"171","1033610934","indoor","candlestick","kachina","oil lamp","lamp","None","None","None","None","None",,,,,,,,,,
"172","103384082","people","indoor","friends",NULL,NULL,"people","None","None","None","None",,,,,,"311:65,451:318,274:366,378:346,423:348,360:77,254:",,,,
"173","1034058003","fire","bonfire","vigil light","candle","concert","None","None","None","None","None",,,,,,,,,,
"174","1034196100","outdoor","plant","grass","nature",NULL,"sky","trees","None","None","None",,,,,,"204:21,362:83,","6:102,8:287,263:241,215:235,101:86,",,,
"175","1034225731","outdoor","adobe","architecture","brick","building","sky","None","None","None","None",,,,,,"234:39,13:352,13:352,300:39,",,,,
"176","103446370","court game","sport","indoor","badminton","tennis","wall","floor","None","None","None",,,,,,"409:67,","390:335,",,,
"177","103472928","outdoor",NULL,NULL,NULL,NULL,"clouds","sky","wood","grass","None",,,,,,"19:81,130:27,99:72,153:59,","71:43,249:57,241:99,241:99,274:97,","131:464,134:425,302:466,319:255,","24:344,21:321,283:302,179:305,99:363,269:467,",
"178","10347840","purple","outdoor","magenta","pink","plant","flowers","None","None","None","None",,,,,,"356:149,83:59,144:70,343:317,163:207,",,,,
